ACCESSION_NUMBER	CIK	REGISTRANT_NAME	FILE_NUM	LEI	ADDRESS1	ADDRESS2	CITY	STATE	COUNTRY	ZIP	PHONE
0000035402-26-001280	0000880195	Fidelity Aberdeen Street Trust	811-06440	EH5MGE941XHR05KZ4E50	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0000035402-26-001331	0000720318	Variable Insurance Products Fund IV	811-03759	Q4ATLOQB94VR31F8C557	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0000035402-26-001293	0000356494	Variable Insurance Products Fund	811-03329	549300DXU3EB0NDEJ256	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0001410368-26-017746	0001081400	ALLSPRING FUNDS TRUST	811-09253	549300XROIY0CTN7RZ24	1415 Vantage Park Drive	3rd Floor	Charlotte	US-NC	US	28203	833-568-4255
0001410368-26-017749	0001081400	ALLSPRING FUNDS TRUST	811-09253	549300XROIY0CTN7RZ24	1415 Vantage Park Drive	3rd Floor	Charlotte	US-NC	US	28203	833-568-4255
0001410368-26-017752	0001081400	ALLSPRING FUNDS TRUST	811-09253	549300XROIY0CTN7RZ24	1415 Vantage Park Drive	3rd Floor	Charlotte	US-NC	US	28203	833-568-4255
0001410368-26-017751	0001081400	ALLSPRING FUNDS TRUST	811-09253	549300XROIY0CTN7RZ24	1415 Vantage Park Drive	3rd Floor	Charlotte	US-NC	US	28203	833-568-4255
0002071691-26-004672	0000887340	NEW YORK LIFE INVESTMENTS VP FUNDS TRUST	811-03833-01	549300AG6K4RXYNOVN04	51 Madison Avenue		New York	US-NY	US	10010	212-576-7000
0002071691-26-004675	0000887340	NEW YORK LIFE INVESTMENTS VP FUNDS TRUST	811-03833-01	549300AG6K4RXYNOVN04	51 Madison Avenue		New York	US-NY	US	10010	212-576-7000
0002071691-26-004674	0000887340	NEW YORK LIFE INVESTMENTS VP FUNDS TRUST	811-03833-01	549300AG6K4RXYNOVN04	51 Madison Avenue		New York	US-NY	US	10010	212-576-7000
0002071691-26-004678	0000887340	NEW YORK LIFE INVESTMENTS VP FUNDS TRUST	811-03833-01	549300AG6K4RXYNOVN04	51 Madison Avenue		New York	US-NY	US	10010	212-576-7000
0002071691-26-004679	0000887340	NEW YORK LIFE INVESTMENTS VP FUNDS TRUST	811-03833-01	549300AG6K4RXYNOVN04	51 Madison Avenue		New York	US-NY	US	10010	212-576-7000
0002071691-26-004687	0000887340	NEW YORK LIFE INVESTMENTS VP FUNDS TRUST	811-03833-01	549300AG6K4RXYNOVN04	51 Madison Avenue		New York	US-NY	US	10010	212-576-7000
0002071691-26-004689	0000887340	NEW YORK LIFE INVESTMENTS VP FUNDS TRUST	811-03833-01	549300AG6K4RXYNOVN04	51 Madison Avenue		New York	US-NY	US	10010	212-576-7000
0001193125-26-074163	0001084060	DAVIS VARIABLE ACCOUNT FUND INC	811-09293	254900JDRQYIL8CB7K16	2949 E. Elvira Road	Suite 101	Tucson	US-AZ	US	85756	520-806-7600
0001193125-26-074288	0002029168	Callodine Specialty Income Fund	811-23984	529900HGFIR0OB3ZDI94	235 West Galena Street		Milwaukee	US-WI	US	53212	4142992217
0001193125-26-074346	0001587982	INVESTMENT MANAGERS SERIES TRUST II	811-22894	549300SU7ER9OFETRU41	235 WEST GALENA STREET		MILWAUKEE 	US-WI	US	532123948	4142992000
0001193125-26-074354	0001587982	INVESTMENT MANAGERS SERIES TRUST II	811-22894	549300SU7ER9OFETRU41	235 WEST GALENA STREET		MILWAUKEE 	US-WI	US	532123948	4142992000
0001193125-26-074356	0001587982	INVESTMENT MANAGERS SERIES TRUST II	811-22894	549300SU7ER9OFETRU41	235 WEST GALENA STREET		MILWAUKEE 	US-WI	US	532123948	4142992000
0002066578-26-001128	0001498498	Ashmore Funds	811-22468	549300JIZK4U03Q64E73	61 Aldwych		London		GB	WC2B 4AE	011-44-20-3206-4500
0001410368-26-032783	0002048903	E Trade Trust	811-24035	254900T3OML9ZMYACN67	1585 Broadway		NEW YORK	US-NY	US	10019	800-869-6397
0002071691-26-007295	0000844779	BlackRock Funds	811-05742	549300OZUEVJZHOBFP42	100 Bellevue Parkway		Wilmington	US-DE	US	19809	800-441-7762
0001410368-26-032776	0000860720	Morgan Stanley Europe Opportunity Fund Inc.	811-06044	549300FUIAOED27T8B38	1585 Broadway		NEW YORK	US-NY	US	10036	800-869-6397
0002071691-26-007285	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0002071691-26-007286	0001804196	BlackRock ETF Trust II	811-23511	549300PLJCTZLQ2LE832	100 Bellevue Parkway		Wilmington	US-DE	US	19809	800-441-7762
0002071691-26-007296	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0002071691-26-007307	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0002071691-26-007322	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0002071691-26-007318	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0002071691-26-007329	0001738074	BlackRock Funds IV	811-23341	549300PC6HXHVNYAKJ59	100 Bellevue Parkway		Wilmington	US-DE	US	19809	800-441-7762
0002071691-26-007338	0000844779	BlackRock Funds	811-05742	549300OZUEVJZHOBFP42	100 Bellevue Parkway		Wilmington	US-DE	US	19809	800-441-7762
0002071691-26-007337	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0002071691-26-007339	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0002071691-26-007336	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0002071691-26-007330	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0002071691-26-007343	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0002071691-26-007345	0001738078	BlackRock Funds V	811-23339	54930077DSFQPJDWM487	100 Bellevue Parkway		Wilmington	US-DE	US	19809	800-441-7762
0001004726-26-002267	0001506213	Strategy Shares	811-22497	254900WXTP9YGQC7P376	2960 NORTH MERIDIAN STREET SUITE: 300		INDIANAPOLIS	US-IN	US	46208	855-477-3837
0001004726-26-002354	0000908695	Victory Portfolios III	811-07852	549300WIDR2J6W1Y9S11	15935 La Cantera Pkwy Building Two		San Antonio	US-TX	US	78256	800-235-8396
0001410368-26-032757	0000783740	MFS SERIES TRUST X	811-04492	5493001MUVNRNUPJY164	111 HUNTINGTON AVENUE		BOSTON	US-MA	US	02199	617-954-5000
0001004726-26-002259	0001506213	Strategy Shares	811-22497	254900WXTP9YGQC7P376	2960 NORTH MERIDIAN STREET SUITE: 300		INDIANAPOLIS	US-IN	US	46208	855-477-3837
0001004726-26-002358	0000908695	Victory Portfolios III	811-07852	549300WIDR2J6W1Y9S11	15935 La Cantera Pkwy Building Two		San Antonio	US-TX	US	78256	800-235-8396
0000940400-26-007109	0001810747	Simplify Exchange Traded Funds	811-23570	549300LDDEMEUCZQEO55	10845 Griffith Peak Drive		Las Vegas	US-NV	US	89135	(702) 389-9705
0000940400-26-007100	0001499655	Precidian ETFs Trust	811-22524	2549009PTGY2C3DLNH87	301 S State Street	Suite N002	Newtown	US-PA	US	18940	908-781-0560
0000940400-26-007114	0001810747	Simplify Exchange Traded Funds	811-23570	549300LDDEMEUCZQEO55	10845 Griffith Peak Drive		Las Vegas	US-NV	US	89135	(702) 389-9705
0000940400-26-007097	0001810747	Simplify Exchange Traded Funds	811-23570	549300LDDEMEUCZQEO55	10845 Griffith Peak Drive		Las Vegas	US-NV	US	89135	(702) 389-9705
0001209466-26-000467	0001209466	Invesco Exchange-Traded Fund Trust	811-21265	QPT4TMG79RF3UWNU0R52	3500 Lacey Road	Suite 700	Downers Grove	US-IL	US	60515	800-983-0903
0000893730-26-000038	0000893730	INTEGRITY FUNDS	811-07322	549300CBG43G3TZD2D35	1 Main Street North		Minot	US-ND	US	58703	701-857-5292
0001193125-26-130942	0001547011	AMERICAN FUNDS COLLEGE TARGET DATE SERIES	811-22692	549300H2REKFHSFTK653	6455 Irvine Center Drive		Irvine	US-CA	US	92618	9499755000
0000910472-26-004425	0001314414	Northern Lights Fund Trust	811-21720	549300BSYF57GRCG4861	225 PICTORIA DRIVE	SUITE 450	CINCINNATI	US-OH	US	45246	631-470-2600
0001193125-26-130897	0000005506	American Mutual Fund	811-00572	QURFUUOMKQ61ME3JJZ05	333 South Hope Street	55th Floor	Los Angeles	US-CA	US	90071	9499755000
0001193125-26-130945	0001547011	AMERICAN FUNDS COLLEGE TARGET DATE SERIES	811-22692	549300H2REKFHSFTK653	6455 Irvine Center Drive		Irvine	US-CA	US	92618	9499755000
0001193125-26-130898	0000811968	Capital Income Builder	811-05085	HB3628X2G8I5EW1FVP36	333 South Hope Street	55th Floor	Los Angeles	US-CA	US	90071	9499755000
0000910472-26-004432	0001547950	Exchange Listed Funds Trust	811-22700	549300NACQI9T12KM079	10900 Hefner Pointe Drive	Suite 400	Oklahoma City	US-OK	US	73120	405-778-8377 
0001193125-26-130941	0001547011	AMERICAN FUNDS COLLEGE TARGET DATE SERIES	811-22692	549300H2REKFHSFTK653	6455 Irvine Center Drive		Irvine	US-CA	US	92618	9499755000
0000910472-26-004428	0001547950	Exchange Listed Funds Trust	811-22700	549300NACQI9T12KM079	10900 Hefner Pointe Drive	Suite 400	Oklahoma City	US-OK	US	73120	405-778-8377 
0001193125-26-130946	0001547011	AMERICAN FUNDS COLLEGE TARGET DATE SERIES	811-22692	549300H2REKFHSFTK653	6455 Irvine Center Drive		Irvine	US-CA	US	92618	9499755000
0000910472-26-004430	0001547950	Exchange Listed Funds Trust	811-22700	549300NACQI9T12KM079	10900 Hefner Pointe Drive	Suite 400	Oklahoma City	US-OK	US	73120	405-778-8377 
0001162044-26-000285	0001524348	SPEND LIFE WISELY FUNDS INVESTMENT TRUST	811-22576	549300J8UKUNET3JGE24	1845 Woodall Rodgers Fwy	Ste 1000	Dallas	US-TX	US	75201	214-871-5254
0001003715-26-001082	0001342947	BBH Trust	811-21829	5493002QM4WBFYUZ3Y95	140 Broadway	NULL	New York	US-NY	US	10005-1108	800-575-1265
0001193125-26-131225	0001380175	American Funds Target Date Retirement Series	811-21981	549300LHAMB8X3UKXY85	333 South Hope Street	55th Floor	Los Angeles	US-CA	US	90071	9499755000
0001410368-26-033716	0001860434	Harbor ETF Trust	811-23661	549300NWWMUBG8UZZ226	111 SOUTH WACKER DRIVE	34th Floor	CHICAGO	US-IL	US	60606	312-443-4400
0001410368-26-033720	0000793769	HARBOR FUNDS	811-04676	549300YJH4HL5M6WFP75	111 SOUTH WACKER DRIVE	34TH FLOOR	CHICAGO	US-IL	US	60606	312-443-4400
0001410368-26-033718	0000793769	HARBOR FUNDS	811-04676	549300YJH4HL5M6WFP75	111 SOUTH WACKER DRIVE	34TH FLOOR	CHICAGO	US-IL	US	60606	312-443-4400
0002071691-26-004586	0000200489	MFS Series Trust V	811-02031	5493004F6FXFYCOUPT54	111 Huntington Avenue		Boston	US-MA	US	02199	617-954-5000
0002071691-26-004585	0000200489	MFS Series Trust V	811-02031	5493004F6FXFYCOUPT54	111 Huntington Avenue		Boston	US-MA	US	02199	617-954-5000
0002071691-26-004589	0000751656	MFS Municipal Series Trust	811-04096	5493001Q9KE7H84Z5340	111 Huntington Avenue		Boston	US-MA	US	02199	617-954-5000
0002071691-26-004595	0000751656	MFS Municipal Series Trust	811-04096	5493001Q9KE7H84Z5340	111 Huntington Avenue		Boston	US-MA	US	02199	617-954-5000
0002071691-26-004591	0000751656	MFS Municipal Series Trust	811-04096	5493001Q9KE7H84Z5340	111 Huntington Avenue		Boston	US-MA	US	02199	617-954-5000
0000894189-26-005246	0001976322	Themes ETF Trust	811-23872	529900NYKGD1N3B8DB45	34 East Putnam Avenue	Suite 112	Greenwich	US-CT	US	06830	646-206-1788
0000894189-26-005247	0001976322	Themes ETF Trust	811-23872	529900NYKGD1N3B8DB45	34 East Putnam Avenue	Suite 112	Greenwich	US-CT	US	06830	646-206-1788
0000894189-26-005245	0001976322	Themes ETF Trust	811-23872	529900NYKGD1N3B8DB45	34 East Putnam Avenue	Suite 112	Greenwich	US-CT	US	06830	646-206-1788
0000894189-26-005250	0001976322	Themes ETF Trust	811-23872	529900NYKGD1N3B8DB45	34 East Putnam Avenue	Suite 112	Greenwich	US-CT	US	06830	646-206-1788
0000894189-26-005254	0001976322	Themes ETF Trust	811-23872	529900NYKGD1N3B8DB45	34 East Putnam Avenue	Suite 112	Greenwich	US-CT	US	06830	646-206-1788
0000894189-26-005257	0001976322	Themes ETF Trust	811-23872	529900NYKGD1N3B8DB45	34 East Putnam Avenue	Suite 112	Greenwich	US-CT	US	06830	646-206-1788
0000894189-26-005277	0001591939	Absolute Shares Trust	811-22917	5493005LD0D8EHH9CD08	331 Newman Springs Rd	Suite 143	Red Bank	US-NJ	US	07701	732-842-4920
0000894189-26-005275	0001591939	Absolute Shares Trust	811-22917	5493005LD0D8EHH9CD08	331 Newman Springs Rd	Suite 143	Red Bank	US-NJ	US	07701	732-842-4920
0000894189-26-005266	0001953487	Mason Capital Fund Trust	811-23853	5493000ECAGVGQWKTY65	50 Federal Street	Ninth Floor	Boston	US-MA	US	02110	617-228-5190
0001084380-26-000262	0001084380	TIAA-CREF Funds	811-09301	549300L8R42TEBN5NG46	730 Third Avenue		New York	US-NY	US	10017	800-842-2733
0000890119-26-000004	0000890119	Nuveen Select Maturities Municipal Fund	811-07056	5493004ODX60CHWL4U41	333 W. Wacker Dr		Chicago	US-IL	US	60606	312-917-7700
0001635073-26-000109	0001635073	NuShares ETF Trust	811-23161	549300UWO63YZ5POLH71	333 W. Wacker Dr		Chicago	US-IL	US	60606	312-917-7700
0001084380-26-000263	0001084380	TIAA-CREF Funds	811-09301	549300L8R42TEBN5NG46	730 Third Avenue		New York	US-NY	US	10017	800-842-2733
0000820892-26-000067	0000820892	Nuveen Investment Funds, Inc.	811-05309	549300L93TESPETT4366	333 W. Wacker Dr		Chicago	US-IL	US	60606	312-917-7700
0001635073-26-000108	0001635073	NuShares ETF Trust	811-23161	549300UWO63YZ5POLH71	333 W. Wacker Dr		Chicago	US-IL	US	60606	312-917-7700
0001068204-26-000033	0001068204	TIAA-CREF Life Funds	811-08961	549300U685X5JUG16Q88	730 Third Avenue		New York	US-NY	US	10017	800-842-2733
0000777535-26-000023	0000777535	College Retirement Equities Fund	811-04415	549300W86TWR1A52Z652	730 Third Avenue		New York	US-NY	US	10017	212-490-9000
0000035402-26-001984	0000744822	Fidelity Investment Trust	811-04008	MXNTE4GH7BW81YELH558	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0000035402-26-001990	0000751199	Fidelity Income Fund	811-04085	D66RCKM57LC8ELZCAY58	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0000035402-26-001991	0000751199	Fidelity Income Fund	811-04085	D66RCKM57LC8ELZCAY58	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0000035402-26-001998	0000751199	Fidelity Income Fund	811-04085	D66RCKM57LC8ELZCAY58	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0000035402-26-001989	0000751199	Fidelity Income Fund	811-04085	D66RCKM57LC8ELZCAY58	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0000035402-26-001999	0001898391	Fidelity Greenwood Street Trust	811-23762	549300467DYGTZIRI308	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0000035402-26-002006	0000081205	Fidelity Puritan Trust	811-00649	WDA1I420M36T9HTVU696	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0000035402-26-002002	0000751199	Fidelity Income Fund	811-04085	D66RCKM57LC8ELZCAY58	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0000035402-26-002014	0001898391	Fidelity Greenwood Street Trust	811-23762	549300467DYGTZIRI308	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0000035402-26-002003	0000945908	Fidelity Covington Trust	811-07319	549300JFYFTF85QAQR28	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0000035402-26-002017	0000035341	Fidelity Devonshire Trust	811-01352	2YVQGEKVQ2H3HLS69325	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0000035402-26-002023	0000035341	Fidelity Devonshire Trust	811-01352	2YVQGEKVQ2H3HLS69325	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0000035402-26-002027	0000819118	Fidelity Concord Street Trust	811-05251	EEX0N4ID1C226M44VF22	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0000035402-26-002048	0000035315	Fidelity Salem Street Trust	811-02105	S4W85DGKOEJ24DPRB829	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0000035402-26-002056	0000225322	Fidelity Summer Street Trust	811-02737	P1TJ3M056NR1SYX5LY49	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0000035402-26-002070	0000744822	Fidelity Investment Trust	811-04008	MXNTE4GH7BW81YELH558	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0000035402-26-002085	0000754510	Fidelity Securities Fund	811-04118	LIUMB3NDWOFJPXVROE85	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0000035402-26-002095	0000917286	Fidelity Hereford Street Trust	811-07139	549300KQI5JTFSYJTM18	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0001410368-26-030045	0000904333	SCHWAB CAPITAL TRUST	811-07704	549300PEK1H7N1HLC797	9800 Schwab Way		Lone Tree	US-CO	US	80124	800-648-5300
0001410368-26-030059	0000904333	SCHWAB CAPITAL TRUST	811-07704	549300PEK1H7N1HLC797	9800 Schwab Way		Lone Tree	US-CO	US	80124	800-648-5300
0001410368-26-030037	0000904333	SCHWAB CAPITAL TRUST	811-07704	549300PEK1H7N1HLC797	9800 Schwab Way		Lone Tree	US-CO	US	80124	800-648-5300
0001410368-26-030038	0000904333	SCHWAB CAPITAL TRUST	811-07704	549300PEK1H7N1HLC797	9800 Schwab Way		Lone Tree	US-CO	US	80124	800-648-5300
0000940400-26-007081	0001810747	Simplify Exchange Traded Funds	811-23570	549300LDDEMEUCZQEO55	10845 Griffith Peak Drive		Las Vegas	US-NV	US	89135	(702) 389-9705
0000940400-26-007102	0001872253	Total Fund Solution	811-23724	549300CL4E1CB85QJL55	615 E. MICHIGAN STREET		MILWAUKEE	US-WI	US	53202	626-914-7363
0000940400-26-007110	0001810747	Simplify Exchange Traded Funds	811-23570	549300LDDEMEUCZQEO55	10845 Griffith Peak Drive		Las Vegas	US-NV	US	89135	(702) 389-9705
0000940400-26-007126	0001810747	Simplify Exchange Traded Funds	811-23570	549300LDDEMEUCZQEO55	10845 Griffith Peak Drive		Las Vegas	US-NV	US	89135	(702) 389-9705
0000940400-26-007125	0001499655	Precidian ETFs Trust	811-22524	2549009PTGY2C3DLNH87	301 S State Street	Suite N002	Newtown	US-PA	US	18940	908-781-0560
0000940400-26-007116	0001499655	Precidian ETFs Trust	811-22524	2549009PTGY2C3DLNH87	301 S State Street	Suite N002	Newtown	US-PA	US	18940	908-781-0560
0001410368-26-016225	0000822977	GOLDMAN SACHS TRUST	811-05349	S2FHCT8U6D2VORP0J605	71  SOUTH WACKER DRIVE	C/O GOLDMAN SACHS & CO	CHICAGO	US-IL	US	60606	312-655-4400
0002016900-26-000007	0002016900	Principal Private Credit Fund	811-23954	2549005PWLUGTRGOB384	711 High St		Des Moines	US-IA	US	50392	515-235-1719
0001410368-26-016233	0000822977	GOLDMAN SACHS TRUST	811-05349	S2FHCT8U6D2VORP0J605	71  SOUTH WACKER DRIVE	C/O GOLDMAN SACHS & CO	CHICAGO	US-IL	US	60606	312-655-4400
0001049169-26-000235	0001382990	ALPS VARIABLE INVESTMENT TRUST	811-21987	549300SIMUVTFTPVKY68	1290 BROADWAY SUITE 1000		DENVER	US-CO	US	80203	3036232577
0002071691-26-002978	0000076721	IMPAX FUNDS SERIES TRUST I	811-02064	549300TD5R23SWU72456	30 Penhallow St., Suite 100		Portsmouth	US-NH	US	03801	603-431-8022
0002071691-26-002974	0000076721	IMPAX FUNDS SERIES TRUST I	811-02064	549300TD5R23SWU72456	30 Penhallow St., Suite 100		Portsmouth	US-NH	US	03801	603-431-8022
0000315774-26-000069	0000315774	FORUM FUNDS	811-03023	549300LXYEU14CHGAO13	190 Middle Street, Suite 101		PORTLAND	US-ME	US	04101	207-347-2000
0001756404-26-000006	0001756404	Principal Real Asset Fund	811-23403	549300HSJTLJOEDEF407	711 High St		Des Moines	US-IA	US	50392	515-235-1719
0002071691-26-002972	0001598735	IMPAX FUNDS SERIES TRUST III	811-22935	549300J0TL6WZJ1A7C04	30 Penhallow St., Suite 100		Portsmouth	US-NH	US	03801	603-431-8022
0000940400-26-012453	0001090155	Prudential Investment Portfolios 5	811-09439	549300J4KLSK1LC9OD03	655 Broad Street		Newark	US-NJ	US	07102-4077	1-800-225-1852
0000940400-26-012451	0001227857	Virtus Convertible & Income Fund II	811-21338	549300VQWKOKLGOGUQ16	101 MUNSON STREET		GREENFIELD	US-MA	US	01301-9668	866-270-7788
0000106444-26-000138	0000106444	VANGUARD FIXED INCOME SECURITIES FUNDS	811-02368	549300F3N7VQKU6I4K64	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0000734383-26-000083	0000734383	VANGUARD SPECIALIZED FUNDS	811-03916	549300OM0CLBHZ9MZW59	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0000857489-26-000084	0000857489	VANGUARD INTERNATIONAL EQUITY INDEX FUNDS	811-05972	549300UR5XWDVDO7NP96	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0001193125-26-070984	0000933691	JNL Series Trust	811-8894	549300T5WIPN6IWM0D45	1 Corporate Way		Lansing	US-MI	US	48951	517-367-4336
0001193125-26-070995	0000933691	JNL Series Trust	811-8894	549300T5WIPN6IWM0D45	1 Corporate Way		Lansing	US-MI	US	48951	517-367-4336
0001193125-26-071022	0000933691	JNL Series Trust	811-8894	549300T5WIPN6IWM0D45	1 Corporate Way		Lansing	US-MI	US	48951	517-367-4336
0001193125-26-071026	0000933691	JNL Series Trust	811-8894	549300T5WIPN6IWM0D45	1 Corporate Way		Lansing	US-MI	US	48951	517-367-4336
0001193125-26-071036	0000933691	JNL Series Trust	811-8894	549300T5WIPN6IWM0D45	1 Corporate Way		Lansing	US-MI	US	48951	517-367-4336
0001193125-26-071048	0000933691	JNL Series Trust	811-8894	549300T5WIPN6IWM0D45	1 Corporate Way		Lansing	US-MI	US	48951	517-367-4336
0000894189-26-004910	0001113229	Kinetics Portfolios Trust	811-09923	254900ZCVXM48Q9D2T43	470 Park Avenue South		New York	US-NY	US	10016	800-930-3828
0000894189-26-005022	0001848758	NEOS ETF Trust	811-23645	549300Q4QMDLLFX8BQ98	13 Riverside Avenue		Westport	US-CT	US	06880	203-298-7300
0001193125-26-071029	0000933691	JNL Series Trust	811-8894	549300T5WIPN6IWM0D45	1 Corporate Way		Lansing	US-MI	US	48951	517-367-4336
0000894189-26-004911	0001083387	Kinetics Mutual Funds	811-09303	254900Z4PTNUE2SN9529	470 Park Avenue South		New York	US-NY	US	10016	800-930-3828
0000894189-26-004904	0001083387	Kinetics Mutual Funds	811-09303	254900Z4PTNUE2SN9529	470 Park Avenue South		New York	US-NY	US	10016	800-930-3828
0000894189-26-005017	0001848758	NEOS ETF Trust	811-23645	549300Q4QMDLLFX8BQ98	13 Riverside Avenue		Westport	US-CT	US	06880	203-298-7300
0000894189-26-005025	0001848758	NEOS ETF Trust	811-23645	549300Q4QMDLLFX8BQ98	13 Riverside Avenue		Westport	US-CT	US	06880	203-298-7300
0001410368-26-018869	0000002110	COLUMBIA ACORN TRUST	811-01829	549300DX0CWIN8VE1908	290 Congress Street		Boston	US-MA	US	02210	800-345-6611
0000910472-26-002893	0001644419	Northern Lights Fund Trust IV	811-23066	549300UIBIHXQ3PDEC28	225 PICTORIA DRIVE	SUITE 450	CINCINNATI	US-OH	US	45246	631-470-2600
0001410368-26-019497	0001317146	MML Series Investment Fund II	811-21714	XSZQMOMB2JPNHA01JH98	1295 State Street		Springfield	US-MA	US	01111-0001	413-744-1000
0001410368-26-019469	0000927972	MASSMUTUAL PREMIER FUNDS	811-08690	E8MCNB0YZSDBDPFJ3093	1295 State Street		Springfield	US-MA	US	01111-0001	413-744-1000
0001410368-26-019490	0000067160	MML SERIES INVESTMENT FUND	811-02224	VQ1HG47DNRJG3HBJH467	1295 State Street		Springfield	US-MA	US	01111-0001	413-744-1000
0000940400-26-008723	0001810747	Simplify Exchange Traded Funds	811-23570	549300LDDEMEUCZQEO55	10845 Griffith Peak Drive		Las Vegas	US-NV	US	89135	(702) 389-9705
0001099263-26-002585	0001795351	T. Rowe Price Exchange-Traded Funds, Inc.	811-23494	549300XZPUK24E1UMH17	1307 Point Street		Baltimore	US-MD	US	21231	410-345-2000
0001410368-26-019492	0000067160	MML SERIES INVESTMENT FUND	811-02224	VQ1HG47DNRJG3HBJH467	1295 State Street		Springfield	US-MA	US	01111-0001	413-744-1000
0000794105-26-000040	0000794105	VANGUARD BOND INDEX FUNDS	811-04681	549300INE5BF80OGAZ51	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0000940400-26-012465	0001559109	ETFis Series Trust I	811-22819	5493002CWTVLBPSYFT98	1301 Avenue of the Americas	14th Floor	New York	US-NY	US	10019	1-888-383-0553
0000940400-26-012462	0001559109	ETFis Series Trust I	811-22819	5493002CWTVLBPSYFT98	1301 Avenue of the Americas	14th Floor	New York	US-NY	US	10019	1-888-383-0553
0000894189-26-011060	0001924868	Tidal Trust II	811-23793	549300BGXECFCIZF2P89	234 West Florida Street	Suite 700	Milwaukee	US-WI	US	53204	844-986-7700
0000940400-26-012522	0000909994	Old Westbury Funds Inc	811-07912	549300YMRMTWRGXX0W63	103 Bellevue Parkway		Wilmington	US-DE	US	19809	800-607-2200
0000894189-26-011069	0001924868	Tidal Trust II	811-23793	549300BGXECFCIZF2P89	234 West Florida Street	Suite 700	Milwaukee	US-WI	US	53204	844-986-7700
0000940400-26-012501	0001051562	Prudential Investment Portfolios 12	811-08565	549300TIDSYQDWW4LP02	655 Broad Street		Newark	US-NJ	US	07102-4077	1-800-225-1852
0000940400-26-012531	0000909994	Old Westbury Funds Inc	811-07912	549300YMRMTWRGXX0W63	103 Bellevue Parkway		Wilmington	US-DE	US	19809	800-607-2200
0000940400-26-012509	0001035018	Prudential Investment Portfolios, Inc. 10	811-08085	549300UGT0NFN75VSP85	655 Broad Street		Newark	US-NJ	US	07102-4077	1-800-225-1852
0000940400-26-012517	0001051562	Prudential Investment Portfolios 12	811-08565	549300TIDSYQDWW4LP02	655 Broad Street		Newark	US-NJ	US	07102-4077	1-800-225-1852
0000894189-26-011171	0001529390	Cambria ETF Trust	811-22704	254900RHN8DQYNXKZQ96	3300 HIGHLAND AVENUE		MANHATTAN BEACH	US-CA	US	90266	310-606-5555
0000940400-26-012527	0000822977	Goldman Sachs Trust	811-05349	S2FHCT8U6D2VORP0J605	71 South Wacker Drive		Chicago	US-IL	US	60606	312-655-4400
